JD,Filter,mag,magunc
2458637.717,ZTF_g,20.55,0.21
2458640.72,ZTF_r,19.45,0.1
2458642.78,ATLAS-c,20.0,-99.0
2458646.713,ZTF_r,19.37,0.14
2458646.76,ATLAS-o,19.6,0.26
2458650.8,ATLAS-o,19.92,0.33
2458654.76,ATLAS-o,19.73,0.3
2458656.79,ATLAS-o,19.85,0.32
2458786.018,ZTF_r,20.59,0.29
2458813.14,ATLAS-o,20.1,-99.0
2458817.08,ATLAS-o,20.56,0.35
2458821.15,ATLAS-o,20.59,0.3
2458827.11,ATLAS-o,20.06,-99.0
2458845.1,ATLAS-o,20.35,-99.0
2458847.12,ATLAS-c,20.33,-99.0
2458851.11,ATLAS-o,20.02,-99.0
2458867.07,ATLAS-o,20.15,-99.0
2458870.87,ATLAS-c,20.21,-99.0
2458873.15,ATLAS-o,20.1,-99.0
2458875.05,ATLAS-c,20.25,-99.0
2458876.95,ATLAS-o,20.21,-99.0
2458878.93,ATLAS-c,20.21,-99.0
2458900.99,ATLAS-o,20.23,-99.0
2458902.89,ATLAS-c,20.35,-99.0
2458904.98,ATLAS-o,20.38,-99.0
2458905.96,ATLAS-o,20.19,-99.0
2458912.99,ATLAS-o,20.28,-99.0
2458924.98,ATLAS-o,20.02,-99.0
2458936.93,ATLAS-o,20.25,-99.0
2458952.9,ATLAS-o,20.3,-99.0
2458956.84,ATLAS-o,20.33,-99.0
2458958.85,ATLAS-c,20.23,-99.0
2458960.87,ATLAS-o,20.35,-99.0
2458967.83,ATLAS-o,20.28,-99.0
2458968.84,ATLAS-o,20.25,-99.0
2458980.81,ATLAS-o,20.49,-99.0
2458982.81,ATLAS-c,20.41,-99.0
2458984.87,ATLAS-o,20.14,-99.0
2458986.85,ATLAS-c,20.23,-99.0
2458988.81,ATLAS-o,20.23,-99.0
2458990.8,ATLAS-c,20.3,-99.0
2458992.81,ATLAS-o,20.52,-99.0
2458994.82,ATLAS-c,20.14,-99.0
2458995.79,ATLAS-o,20.02,-99.0
2459016.76,ATLAS-o,20.04,-99.0
2459194.14,ATLAS-o,20.14,-99.0
2459195.1,ATLAS-c,20.41,-99.0
2459205.05,ATLAS-c,20.35,-99.0
2459207.06,ATLAS-c,20.18,-99.0
2459209.08,ATLAS-c,20.11,-99.0
2459210.09,ATLAS-o,20.14,-99.0
2459223.13,ATLAS-o,20.1,-99.0
2459225.08,ATLAS-c,20.21,-99.0
2459226.99,ATLAS-c,20.05,-99.0
2459228.98,ATLAS-c,20.02,-99.0
2459249.06,ATLAS-o,20.0,-99.0
2459257.05,ATLAS-c,20.35,-99.0
2459258.93,ATLAS-c,20.35,-99.0
2459260.96,ATLAS-c,20.3,-99.0
2459263.02,ATLAS-c,20.14,-99.0
2459267.98,ATLAS-o,20.02,-99.0
2459276.98,ATLAS-o,20.0,-99.0
2459280.96,ATLAS-o,20.33,-99.0
2459288.96,ATLAS-o,20.43,-99.0
2459292.93,ATLAS-o,20.3,-99.0
2459308.89,ATLAS-c,20.58,-99.0
2459312.9,ATLAS-c,20.62,-99.0
2459321.84,ATLAS-o,20.25,-99.0
2459322.84,ATLAS-o,20.16,-99.0
2459324.85,ATLAS-o,20.1,-99.0
2459334.84,ATLAS-o,20.16,-99.0
2459336.85,ATLAS-o,20.08,-99.0
2459342.83,ATLAS-c,20.11,-99.0
2459344.84,ATLAS-o,20.41,-99.0
2459346.83,ATLAS-c,20.08,-99.0
2459348.81,ATLAS-o,20.21,-99.0
2459352.8,ATLAS-o,20.12,-99.0
2459364.77,ATLAS-o,20.33,-99.0
2459366.83,ATLAS-o,20.21,-99.0
2459368.81,ATLAS-c,20.33,-99.0
2459372.76,ATLAS-c,20.16,-99.0
2459376.79,ATLAS-c,20.3,-99.0
2459380.76,ATLAS-c,20.05,-99.0
2459392.78,ATLAS-o,20.14,-99.0
2459586.93,ATLAS-c,20.08,-99.0
2459588.15,ATLAS-c,20.21,-99.0
2459591.06,ATLAS-c,20.3,-99.0
